epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,223.841,1.18353,0.67744,1.04518,0.94977,0.78964,0.84331,0.54816,1.34387,0.63919,1.29844,0.000743468,0.000743468,0.000743468
19,236.216,1.15114,0.64767,1.03381,0.83645,0.83719,0.87538,0.53617,1.38238,0.656,1.30224,0.000715761,0.000715761,0.000715761
20,248.54,1.15376,0.64446,1.02868,0.96499,0.81159,0.86024,0.53773,1.27329,0.63552,1.29721,0.000687222,0.000687222,0.000687222
21,260.822,1.15475,0.64077,1.02667,0.88658,0.8096,0.87244,0.557,1.34129,0.6133,1.29244,0.000657963,0.000657963,0.000657963
22,273.041,1.13535,0.62691,1.02129,0.94359,0.79827,0.87583,0.53636,1.46315,0.63792,1.3688,0.000628101,0.000628101,0.000628101
23,285.283,1.1322,0.62414,1.01865,0.9504,0.79241,0.87726,0.56953,1.25637,0.60304,1.224,0.000597754,0.000597754,0.000597754
24,297.731,1.12082,0.61526,1.01935,0.94884,0.81033,0.90128,0.56053,1.31355,0.64201,1.27633,0.00056704,0.00056704,0.00056704
25,309.993,1.12918,0.62588,1.0124,0.95454,0.82143,0.89634,0.60926,1.13593,0.53333,1.16189,0.000536081,0.000536081,0.000536081
26,322.398,1.11927,0.60322,1.01589,0.93231,0.8356,0.872,0.56838,1.20958,0.56304,1.21565,0.000505,0.000505,0.000505
27,334.705,1.10122,0.59304,1.00767,0.9608,0.79816,0.87738,0.56019,1.33197,0.5855,1.26713,0.000473919,0.000473919,0.000473919
28,346.99,1.10181,0.59152,1.00151,0.97465,0.82525,0.88243,0.58893,1.25945,0.54613,1.24144,0.00044296,0.00044296,0.00044296
29,359.306,1.08162,0.57743,1.00133,0.94983,0.8322,0.88409,0.60446,1.09686,0.56464,1.14915,0.000412246,0.000412246,0.000412246
30,371.62,1.09132,0.58289,0.9961,0.87688,0.85427,0.8893,0.56824,1.32093,0.5488,1.25721,0.000381899,0.000381899,0.000381899
31,383.988,1.09887,0.5819,0.99501,0.96417,0.8361,0.89858,0.62695,1.1758,0.51144,1.16956,0.000352037,0.000352037,0.000352037
32,396.336,1.07459,0.56217,0.98862,0.97007,0.81785,0.88955,0.61362,1.10556,0.50658,1.14065,0.000322778,0.000322778,0.000322778
33,408.718,1.08145,0.5626,0.98684,0.87678,0.85793,0.89702,0.60498,1.20943,0.51436,1.19,0.000294239,0.000294239,0.000294239
34,421.071,1.0683,0.56094,0.98742,0.97306,0.82942,0.92862,0.60524,1.21237,0.51002,1.18298,0.000266532,0.000266532,0.000266532
35,433.389,1.06084,0.54811,0.98337,0.89257,0.84368,0.89638,0.63836,1.06566,0.4625,1.1299,0.000239766,0.000239766,0.000239766
36,445.909,1.06292,0.55186,0.98371,0.97218,0.8398,0.90423,0.62046,1.09924,0.50323,1.13103,0.000214046,0.000214046,0.000214046
37,458.24,1.0561,0.54532,0.97801,0.96173,0.84174,0.9156,0.63744,1.09232,0.49448,1.12343,0.000189475,0.000189475,0.000189475
38,470.56,1.05411,0.53976,0.98008,0.9816,0.82952,0.8881,0.61931,1.12292,0.4833,1.14547,0.000166149,0.000166149,0.000166149
39,482.901,1.04844,0.53222,0.97553,0.8941,0.86221,0.90658,0.63199,1.1324,0.48072,1.149,0.000144161,0.000144161,0.000144161
40,495.219,1.04373,0.53091,0.97218,0.97398,0.82343,0.88742,0.6189,1.14908,0.47292,1.15009,0.000123596,0.000123596,0.000123596
41,507.552,1.03015,0.52408,0.96754,0.97664,0.82871,0.88738,0.63242,1.09121,0.46678,1.13063,0.000104537,0.000104537,0.000104537
